goods_no,option_name,username,skin_types,rating,date,content,filter_type,review_key,skin_type,sort_type
A000000166709,[흔적진정]감자패드60매(+10매기획),조아양으지가조아,"건성, 여름쿨톤, 각질, 미백",5,2026.02.09,"⭐️한달리뷰⭐️두산야구개막D-47⭐️

스킨푸드 패드 4개써봄

당근 감자 워터파슬리(미나리) 복숭아(?였나)

복숭아는 ㄹㅇ 효과1도없고 내기준 향도 역했기때문에 포함안시킬것

수분감 : 당근&gt;&gt;감자&gt;미나리
잔여감 : 당근&gt;&gt;감자&gt;미나리
유분감 : 당근&gt;감자&gt;&gt;미나리
패드 두께감 : 다똑같음
패드 부드러운 정도 : 당근&gt;감자&gt;)미나리
건성인 내 기준 당근패드는 사시사철 머리말릴때도 화장전에도 자기전에도 ㄹㅇ 맨날쓸수있고 이건 팩토용
감자는 환절기?에 적당히 깔끔하게 수분감있게 쓰기 괜찮고 얜 팩토 닦도 다 가능
워터파슬리패드는 정말 잔여감 안남고 얼굴 물세수한느낌임 깔-끔함 닦토로 최고 패드도 제일 뻣뻣함 건성인 난 여름에만 씀

한줄정리 
당근 미나리 감자중에 제일 무난한건 감자임",sort_helpful,55379585,None,helpful
A000000166709,[흔적진정]감자패드60매(+10매기획),올리브뵤,"약건성, 여름쿨톤, 트러블, 미백",5,2026.04.14,"요새 자주쓰는 토너패드에요! 까만게 콕콕 박혀있어서 진짜 감자갈아넣은것같아요 ㅋㅋ 당근패드랑 번갈아가면서 쓰고있는데 둘다 괜찮네용. 패드에 에센스가 넉넉하게 적셔져 있어서 피부에 올리면 건조하게 마르는 느낌 없이 끝까지 촉촉하게 유지돼요. 닦토로 써도 자극 없이 부드럽게 정돈되고, 팩처럼 올려두면 열감 내려가고 좋더라고용.

패드가 유연해서 굴곡진 부분에도 잘 밀착되고, 결이 거칠지 않아서 예민할 때도 부담 없이 사용 가능해요. 특히 세안 직후 당김 심할 때 이걸로 먼저 수분 채워주면 그 다음 스킨케어 단계가 훨씬 잘 먹어요. 끈적임 없이 산뜻하게 마무리되는 점도 데일리로 쓰기 좋았어요! 근데 오래써보니까 트러블을 확 잡아준다거나 미백이 눈에 띄게 되는 타입은 아니고, 기본에 충실한 수분 진정용에 가까운것같아욥",sort_helpful,58378572,None,helpful
A000000166709,[흔적진정]감자패드60매(+10매기획),sahaneul,"A07, 잡티, C13",3,2026.03.28,"⛤ 개인적인 의견

⛤ 보습력: 패드인데 생각보다 촉촉함 / 닦토하고 나면 당김 없이 피부 편안한 느낌 있음

✓ 사용감: 자극 없이 순한 편 / 막 쓰기 무난함
✓ 제형: 패드가 적당히 촉촉해서 마르지 않음 / 여러 번 닦아도 괜찮은 느낌

✘ 진정: 트러블 진정은 솔직히 난 잘 모르겠음 / 갑자기 난 여드름은 그대로였음
✘ 흔적 개선: 붉은기나 흔적 옅어지는 효과는 체감 거의 없음

⛤ 추천 대상: 피부 예민해서 순한 패드 찾는 사람 / 그냥 기본 보습용 닦토용으로 쓰는 건 괜찮음

한줄평
이거만 꾸준히 써봤는데 나는 모르겠음 근데 순한것같음!!",sort_helpful,57550067,None,helpful
A000000166709,[화잘먹]복숭아패드70매,vvooo,"복합성, 가을웜톤, 트러블, 블랙헤드",5,2022.03.19,"2/28에 구매해서 3/19 오늘까지 삼주간 매일 사용한 후기에요🌿

스킨푸드 당근패드를 진짜 좋아해서 미나리패드 출시 되자마자 구매해서 사용하고 있는데 저한테 너무 잘 맞아서 또 쟁여요ㅎㅎ

제 피부는 마스크 때문에 좁쌀여드름이 많이 생겼고 홍조도 심한 상태였어요. 수부지 피부인데다 좁쌀 여드름은 유수분 밸런스를 
잘 맞춰 스킨케어를 해줘야 가라안는데 정말 어렵더라고요ㅠㅠ

삼주동안 워터파슬리 패드로 닥토랑 스킨팩을 열심히 해줬더니 일주일차부턴 피부가 눈에 띄게 좋아지더니 사용한지 삼주째인 지금 피부상태는 좁쌀 가득했던 제피부가 맞나 싶을정도로 너무 깨끗해 졌어요! 이 제품이 저한테 유독 잘 맞는건지 진짜 🐶 좋아요.

화장전엔 패드로 닥토를 해주고 자기전 스킨케어때는 패드를 나눠서 스킨팩으로 사용해 줬어요. 스킨푸드 패드답게 패드 크기가 커서 사용하기 좋았고 LHA성분이 들어있어서 피부 각질케어도 순하게 할수있어서 좋았어요. 
마무리감은 산뜻 촉촉하게 진정시주는 느낌이에요. 패드가 세장까지 잘 나눠지더라고요! 스킨팩하기 딱이에요. 오분정도 스킨팩을 해주고 나면 피부 열감도 내려가고 피부도 진정되어 있어요. 

전 너무 만족한 제품이라 보일때마다 구매하고 있어요.
좁쌀이나 여드름 때문에 고민이신분들, 촉촉 산뜻한 진정 패드찾고 게신분께 추천 드려요. 당근패드보다 좋은 패드는 없을 줄 알았는데 스킨푸드 짱.. 전 하루에 두세장씩 사용해서 벌써 한통 다 사용했는데 패드가 넓고 두툼하고 나눠서 사용할수도 있어 가성비도 좋다 생각해요! 

🥕당근패드랑 간단비교🌿
🥕촉촉하게 수분채워주며 진정
🌿산뜻 촉촉하게 빠르게 진정

🥕패드가 크고 부드럽고 두툼
🌿같은 크키,두께에 좀 더 탄탄하고 넓은 엠보싱 

🥕흙냄새 막 캔 당근냄새 호불호 있음
🌿은은한 허브향? 호불호 없을것 같음

컬렉션 ‘진정해’나 이제품 기획세트 리뷰 찾아보시면 먼저 산 패드 리뷰에 스킨케어 루틴이랑 같이 쓰고있는 제품 적어놨어용! 너무
칭찬만 해서 스킨푸드 직원같은뎈ㅋㅋㅋ 3통째 내돈내산으로 쟁일만큼 정말 만족한 제품이에요. 
리뷰가 도움이 되셨길 바랄께요!🌿

사진 순서💚
1️⃣패드통 2️⃣패드 3️⃣2/28일 피부상태 4️⃣스킨팩
5️⃣요즘 피부상태 (방금 스킨케어하고 찍은무보정 사진이에요!)
6️⃣쿠션 바른피부 (피부 상태가 좋아지니깐 쿠션바를맛이 나요!)
7️⃣당근패드랑 비교 8️⃣패드 3장으로 나눈것
9️⃣,🔟 겉포장",sort_helpful,12600650,None,helpful
A000000166709,[화잘먹]복숭아패드70매,강아지사진도둑,"건성, 여름쿨톤, 트러블, 미백",5,2024.02.21,"감자패드 런칭된다는 얘기 인별에서 본 지 며칠 안 지난 것 같은데 되게 빨리 나왔네요ㅎㅎ 사진에서 보시다시피 스킨푸드 패드 광인이라 신제품 감자패드🥔도 바로 구매했어요. 다른 패드도 최소 대여섯 통~최대 열 통은 써 왔기 때문에 기대했어요💕

🥔푸드 패드 시리즈는 각 라인마다 주력으로 하는 테마가 있는데 이번 감자패드는 진정&마데카소사이드더라고요. 
그동안 진정 라인으로 나온 건 미나리 라인이 진정에 가까웠던 것 같은데 확실히 감자패드가 진정 면에서 더 나은 효과가 있었어요.

🥔라인마다 패드 향이 다르길래 감자패드 향은 뭘까 싶었는데 당근패드랑 비슷한 흙냄새+시원상쾌한 약간의 풀냄새 같은 향이었어요. 당패 잘 쓴 분들이라면 무난하게 쓰실 것 같은 향!! 
개인적으로 호였어요.

▪️개인적인 푸드 패드 시리즈 선호도는
🥕&gt;🥔&gt;🌰&gt;🌿 예요. 
가장 무난하게 쓰기 좋은 건 역시 베스트셀러인 당근패드 같고, 감자패드도 무난하고 진정효과 좋지만 패드가 더 말랑말랑한 느낌이라 조금 더 견고한 것 같은 당근패드가 더 좋았어요. 

🌟간단하게 비교해보면

▪️패드 부드러움
🥔=🌰&gt;🥕&gt;&gt;🌿
감자패드와 도토리패드가 비슷하게 말랑말랑하고 부드러워요. 당근패드도 자극이 거의 없을 정도로 부드럽고 촉촉하지만 에센스 궁합의 차이인지 감자패드와 도토리패드는 늘어질 정도로 부드러워요. 
미나리패드는 개인적으로 살짝 까슬한 사용감이었어요.

▪️패드 진정효과
🥔&gt;🥕&gt;🌰&gt;🌿
역시 진정효과를 주력으로 한 감자와 당근이 압승이에요.
모공을 주력으로 나온 도토리패드도 순하고 촉촉해서 진정 효과가 어느 정도 있지만 감자랑 당근이 더 좋아요.
오히려 진정을 주력으로 한 미나리는 저랑 잘 안 맞았는지 진정에는 좀 아쉬웠어요ㅠ

▪️패드 잘 나뉘는 정도
🥕&gt;🌿&gt;🥔&gt;🌰
스킨푸드 패드는 닦토보다 스킨팩 용도로 쓰시는 분들이 많은 걸로 알고 있어요. 처음부터 한 장을 두 개로 나누어서 쓰는 패드로 유명해졌는데 나뉘는 것도 차이가 있었어요. 
다 순면 재질의 패드를 써서 부들부들하긴 한데 비교적 잘 갈라지는 건 당근패드와 미나리패드였어요. 
에센스가 촉촉하고 점도가 있으면 패드가 더 말랑해지는건지 감자패드와 도토리패드는 상대적으로 덜 균일하게 갈라지는 것 같아요.

▪️스킨푸드 마음에 드는 점... 
분리배출 안내를 상세히 해 준다는 점이에요.
환경마케팅 하는 브랜드가 늘어나면서 성분은 비건이니 뭐니 하지만 정작 분리배출은 제대로 신경 안 쓰는 브랜드가 많은데 스킨푸드는 이렇게 안내를 첨부한 게 최소 3년은 된 것 같아요. 다음에는 재활용 어려운 유리와 플라스틱도 재활용 잘 되는 용기로 바뀌었으면 하는 바람이에요ㅎㅎ",sort_helpful,26011357,None,helpful
A000000166709,[화잘먹]복숭아패드70매,진심인편,"복합성, 민감성, C09",5,2020.10.24,"*글 읽기 귀찮으신 분들은 사진만 보셔도 되요. 총 6장입니다:)

평소 수정화장을 위해 패드를 자주 사용하는데요, 출근해서 열심히 일을 하고 있다보면 아침엔 뽀송 했던 피부가 건조해지고 기름지고 화장이 뭉치더라구요. 이럴때 패드 한-두장이면 쉽게 수분 보충도 되고 쿠션으로 파데를 다시 얹기도 좋거든요.

스킨푸드 제품도 타사 에센스 패드와 별 다른게 없을거라고 생각하고 신청했습니다. 
일당 실제로 받아보니 케이스가 엄청 컸고, 매수를 확인해보니 60매로 양이 많은 편은 아니였어요. 타사 제품은 에센스가 넘쳐서 육안으로도 확인가능한데 이 제품은 에센스가 흐르고 있지 않았구요. 그래서 사실 별 기대를 안했어요.

그런데 사용하면서 그 생각은 싹 바뀌었어요. 패드 사이즈가 일반 패드보다 엄청 크고, 엠보싱이 느껴지는 도톰한 두께의 순면 패드였어요. 
타사랑 비교해보면 타사는 얇아서 패드안에 에센스가 담기지 못하고 겉으로 흐르는 형태이고, 스킨푸드의 제품은 도톰한 패드에 에센스가 충분히 담겨서 촉촉하게 피부에 수분을 공급해 주는 형태였습니다. 

한번 쓱 닥고 버리는 패드가 아닌, 충분히 에센스가 스며들도록 얼굴에 부착하는, 마치 팩처럼 사용하기 좋았어요. 
팩보다 간편한게 팩은 얼굴 전체를 덮는게 일반적이고 에센스가 흐르거나 끈적거리는게 많은데 당근패드는 얼굴 부분부분에 올려놓을 수 있고 끈적임도 없었어요.
충분한 흡수를 위해 최소 5분이상 (10분 이하) 사용을 권장하고 있는데요, 확실히 사용하고 나면 모공이 정돈되는 느낌이에요. 모공을 조여주는 느낌?! 
당근패드 하고나면 확실히 속부터 촉촉해지고 피부결도 정돈되서 화장이 진짜 잘먹혀요. 수정화장용으로도 좋지만 전 개인적으로 팩대용으로 간편하게 쓰기 좋겠다는 생각이 들었어요. 진짜 너무 완전 강추!!! 체험단으로 제공받은 제품이지만 너무 마음에 들어서 다쓰면 제 돈으로 쟁여놓을 예정이에요!",sort_helpful,6276593,None,helpful
A000000166709,[화잘먹]복숭아패드70매,강아지사진도둑,"건성, 여름쿨톤, 트러블, 미백",5,2022.03.04,"이번에 스킨푸드에서 새로 나온 워터 파슬리 패드를 사면서 같이 구매했습니다. 당근패드는 런칭 당시 빠르게 구매해서 사용해보고 지금 재구매한 제품입니다. 그 때 사용 이후 시간이 지나 다시 구매하게 된 이유가 있습니다. 첫 사용 당시에 좋지만 평범하다는 인상을 받았고 다른 패드 제품을 더 잘 사용했습니다. 그런데 스킨푸드 자사몰에서 증정으로 받은 패드를 사용해보니 전보다 좋게 느껴져서 다시 구매까지 이어지게 되었습니다. 미나리 패드(워터 파슬리 패드)와 비교해서 작성해보겠습니다. 

🥕당근패드: 건성 피부가 스킨팩하기 좋음. 닦토용
🥬미나리패드: 각질제거, 닦토용. 스킨팩은 잠깐 동안만

🔹패드의 사이즈와 두께는 미나리패드와 당근패드가 같습니다. 당근패드가 살짝 더 얇게 찍혔지만 패드의 질감이 조금 다를 뿐 두께는 거의 같습니다. 두 패드 모두 두 겹으로 나누어 사용하기 좋습니다. 가끔 한 겹 벗겨낼 때 다른 두께로 뜯어질 때가 있었는데 보통은 비슷하게 뜯어지는 것 같습니다. 

🔹한 겹으로 스킨팩을 하기엔 좀 무리가 있는 두께입니다. 한 겹으로도 해 봤는데 두껍고 무게감이 있어서 피부에 잘 밀착되지 않고 금방 떨어집니다. 

🔹쿨링감은 요새 나오는 다른 패드 제품보다 적은 편이지만 피부 진정이 잘 되고 열감도 잘 내려갑니다. 올려놓고 있으면 피부에 수분 충전도 되고 웬만큼 결 정리도 되는 편입니다. 

🔹당근패드 향은 흙에서 막 뽑아낸 당근 향입니다. 향료는 성분에 없으니 자연유래오일에서 나는 향 같습니다. 그냥 당근 향이 아니라 묽은 흙이 묻어난 흙당근 향입니다. 호불호 있을 향입니다. 반면 미나리패드는 상큼한 향이 납니다. 향에 대한 호불호는 미나리패드가 덜할 것 같습니다.

🔹당근패드의 에센스는 미나리패드보다 촉촉하고 미끈한 편입니다. 에센스를 만졌을 때 미끄덩한 느낌이 있습니다. 미나리패드 에센스는 당근패드 에센스보다 가볍고 산뜻한 제형입니다. 당근패드는 건성이, 미나리패드는 지성이 사용하기 좋습니다. 

🔹스킨팩을 하기에는 당근패드가 더 좋습니다. 미나리패드는 당근패드와 달리 화학적 각질제거 성분인 lha가 포함되어 있습니다. 미나리패드는 닦토에 더 적합하고 당근패드는 자연유래오일과 보습 성분이 들어있어 스킨팩에 더 적합합니다.

🔹스킨푸드가 점차 환경을 생각하는 마케팅에 동참하는 것 같아요. 처음에 사용했을 때는 당근패드 용기가 재활용이 어려운 용기였습니다. 라벨 스티커도 잘 떼어지지 않고 단단한 플라스틱인데도 재활용이 어려운 용기였는데 최근에 바뀐 모양이에요. 재활용이 우수한 용기로 바뀌었고 재활용 방법도 자세히 알려주고 있습니다. 점차 바뀌어 가는 모습이 보기에 좋습니다.",sort_helpful,12331341,None,helpful
A000000166709,[화잘먹]복숭아패드70매,강아지사진도둑,"건성, 여름쿨톤, 트러블, 미백",5,2023.02.18,"당근패드🥕를 잘 쓴 당신,, 도토리패드도 써 보세요🌰
(수분진정파-&gt; 🥕 / 매끈촉촉파-&gt; 🌰 / 각질제거파-&gt; 🌿)
모공케어는 효과가 없는 것 같고 적당한 수분감+적당한 보습력을 느끼고 싶은 분들께 도토리패드 추천이에요.

🌟스킨푸드의 패드 덕후,, 이미 당근패드랑 미나리패드는 수없이 구매해서 신상인 도토리도 구매했어요.
제가 생각하기에 당근과 도토리는 좀 비슷했고 미나리는 결이 좀 달라서 비교하며 써 볼게요.
당근패드는 🥕, 미나리패드는 🌿, 도토리패드는 🌰
(사과폰에 도토리 이모지가 없어서 🌰으로)

▪️올영 기획이 무조건 이득이니 웬만하면 올영 기획으로 구매해서 10매 더 증정받으세요!!

▪️저는 당근이랑 도토리가 비슷하고 미나리는 좀 결이 다르다고 생각하는데 가장 큰 이유는 패드 재질이고 그 다음으로는 에센스 제형이에요.
미나리는 섬유 소재가 조금 거친 감이 있고 에센스도 가장 워터리한데 당근이랑 도토리는 보습력도 더 있고 섬유 소재가 매끈보들해요. 미나리는 겉면에 정제가 덜 된 느낌의 점이 콕콕 박혀있는데 당근이랑 도토리는 그냥 면 소재예요.

▪️패드 촉감: 🌰&gt;🥕&gt;&gt;🌿
▪️에센스 수분감: 🌰&gt;🥕&gt;🌿
▪️패드 두께: 이건 거의 비슷한 것 같지만 에센스와 패드 질감 차이 때문인지 🌿&gt;🥕=🌰 이렇게 느껴져요.
▪️각질 제거: 스킨푸드는 각질 제거 성분을 많이 넣지는 않는 것 같아요. 굳이 꼽자면 🌿&gt;&gt;&gt;🥕&gt;🌰

▪️도토리는 스킨팩하기 가장 좋은 에센스예요.
수분감도 있지만 적당한 보습력이 있기 때문에 올려두기만 해도 피부 전체에 골고루 흡수되는 입자가 작은 부드러운 에센스예요.
(수분 충전과 빠른 진정이 목적이라면 🥕,
각질 제거와 피부결 정리가 목적이라면 🌿)

▪️도토리패드가 모공 관리를 주 목적으로 내세웠는데 
모공 케어는 글쎄... 입니다. 사실 모공 관리를 하려면 이런 기초 제품보다는 피부과 같은 데를 가는 게..
모공 케어가 잘 된다고는 확실히 말할 수 없을 것 같아요.
이 패드의 최대 장점은 부드러운 촉촉함이에요.
수분가득 당근패드에 보습이 더해진 사용감이에요.

▪️도토리패드도 두 장으로 갈라 쓸 수 있어요.
하지만 에센스가 촉촉해서 패드가 말랑해지는 바람ㅇ두 장을 균일하게 가르기 어려웠어요. 피부에 균일하게 올리고 싶을 때는 당근이 가장 괜찮은 것 같아요. 

▪️도토리와 당근 향이 유사하게 느껴졌어요.
당근패드도 묘한 흙당근 향이 난다고 생각했는데 도토리도 비슷한 향이 나요.

▪️도토리랑 당근이 워낙 비슷하다보니 두 패드를 놓고 차이점을 찾으려고 하면 도토리가 더 보들보들하고 쫀득한 느낌이 난다는 것 말고는 큰 차이를 못 느꼈어요",sort_helpful,17673316,None,helpful
A000000166709,[화잘먹]복숭아패드70매,러블리슬,"복합성, 가을웜톤, 민감성, 잡티",5,2021.03.04,"★패드 종류가많은데 스킨푸드 패드 선택한 이유★
-유튜브 보다가 스킨푸드MD 분이 나오셔서 스킨푸드 제품 3개 추천하는 영상보다가 거기에 이 카로틴 카밍 워터 패드가 나와서 호기심이 생겨서 구매하게 되었습니다.

★이 패드의 장점★
-사실 패드는 유명한거 몇개 사용해봤는데 바쁜 출근길에 하나만 꺼내서 닦아내는 간편함도 있고 화장했을시 시간이 좀 지난후 유분에 의해 파운데이션이 떳을때 수정용으로 사용 하고 했습니다. 이 패드는 우선 엄청 부드러워요. 접촉면이 다른 브랜드 패드 보다 너무 부드러워서 피부가 엄청 예민한 민감성 분들도 사용하실수 있을거같아요. 앰플이 패드에 엄청 많이 묻혀져 있어요. 다른 브랜드 패드통에 비해 엄청 크더라구요. 그 이유가 아무래도 앰플이 많이 들어가 있기 때문인거 같아요. 한장으로 2장 나눠져서 볼이나 턱, 이마에 스킨팩도 가능하고 가성비도 쩔고 너무 좋아요. 냉장고에 넣고 쓰고있는데 아침 저녁 사용하기 너무 좋아요

★스킨푸드 명성답게 자연에서 재배한 당근씨 오일에서 얻은 베타카로틴 성분이 함유되어 있다는데 이 성분이 피부건강을 증진 시켜준다고 해요. 촉촉하게 진정시켜주는 스킨푸드 패드 강추",sort_helpful,8013208,None,helpful
A000000166709,[화잘먹]복숭아패드70매,다다0303,"복합성, 쿨톤, 민감성, 모공",5,2021.12.09,"평소에 패드류 제품을 사용하면서도 ‘이 제품은 나랑 잘 안 맞아’, ‘패드류 자체가 나랑 잘 안 맞나 봐’ 라는 생각을 하며 살아온 패드 유목민이에요💧

결론적으로 이 당근패드가 가장 좋아서 정착했어요. 두 통째 쓰는 중인데 개인적으로 가장 좋다고 느꼈습니당


👍 다른 패드보다 크고 도톰해요
크기는 손등에 올렸을 때 손등을 다 덮을 정도의 크기에요. 그리고 패드가 아주 도톰해서 반으로 가를 수 있어요. 반을 나눠도 얇지 않아서 일반 다른 패드와 두께가 비슷하다고 느껴졌어요! 반 갈라서 양쪽 볼 위에 올리면 좋습니당. 아주 섬세하게 가르면 (얇아지지만..) 3장까지도 나와요🤓 그래서 저는 드라이할 때는 세 장으로 나눠서 양쪽 볼, 이마에 붙여두고 사용합니다!


👍 패드가 부드러워요
패드가 폭신폭신 엄청 부드러워요. 엠보싱 면도 아주 부드럽고, 뒷면이야 말도 못하게 부드러워용. 사용해본 패드 중에서 가장 부드러웠습니다. 


👍 에센스가 가득 들어있어요
처음에 뚜껑 열고 개봉하고 눈으로만 봤을 때는 에센스가 적어보였어요. 밑바닥에 에센스가 찰랑거릴 정도로 있는 패드도 있다보니 그렇게 생각했었어요🥲 그런데 에센스 정말 듬뿍이에요! 패드가 도톰하다보니 패드 자체가 에센스를 듬뿍듬뿍 머금고 있어요. 손에 쥐고 짰을 때 조르를 흐를 정도입니당. 그리고 에센스도 엄청 수분감 빵빵해요.


👎단점은?
개인적으로는 단점이 없는 제품인데 굳이 꼽자면 향이 호불호 갈릴 수 있을 것 같아요. 향이 어떻냐면.. 엄청 강하지는 않은데, 한의원이나 한약을 같아 취급하는 큰 옛날 약국에 들어가면 나는 향이라고 느꼈어요. 저는 건강한 향이라고 생각해서 좋아하는데 싫어하실 분들은 불호라고 느낄 것 같아요. 


저는 이 당근패드로 인해 엄청난 큰 일이 일어나지 않는 이상 계속 사용할 것 같아요! 저처럼 팩도 하기 귀찮아하는 분들께도 추천드립니다. 팩 대용으로 가볍게 쓰기도 좋아요. 완전 추천합니당👍

그리고 패드가 부드럽지만, 민감성이신 분들은 패드 자체가 피부에 자극을 주기 때문에 매일 사용하시려면 닦아내는 용도 말고 팩으로 사용하시는 걸 추천드려요. 민감성 아니신 분들은 닦아내고 팩으로 사용하시는 걸 추천드립니다!",sort_helpful,11422837,None,helpful
